"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $4025.18/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x6855d10b729b721b2aca094e961ddcd5b0154ac8149cf0b6938f72c962b27cb2","11447982","1607907517","2020-12-14 00:58:37","0x0ef6e547dd86de09f0e8ece1e5a9f5ccb335ade1","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0114214455","45.97337399769","586.35","","","Borrow",""
"0x9bec2714b7ba21881bd2fe7150cffe9f4599b8e95fb8ab93ad489ab1920e4bad","11447983","1607907537","2020-12-14 00:58:57","0x48f64de392581170695a74139512bcbc3913c9b3","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.00699327576","28.1491937236368","586.35","","","Deposit",""
"0x07153de457197b40bed1d476bc21b61767198d075be2f5bb91a68495a4f742fe","11447986","1607907591","2020-12-14 00:59:51","0x8cffdc7db5c00b842102d8c76f84ad112f4dbd1b","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.01335204051","53.7443664200418","586.35","","","Borrow",""
"0x7329aeff1085db8a759d2dead7f8613cc99119b13115b4f95e43b5e99472e4ea","11447995","1607907729","2020-12-14 01:02:09","0x48f64de392581170695a74139512bcbc3913c9b3","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0074756132","30.090688740376","586.35","","","Deposit",""
"0xac5af184b65694743f3c46fbbcdf7785c4f454e2a0d5acc8f307cd58be628b7d","11448014","1607908039","2020-12-14 01:07:19","0x48f64de392581170695a74139512bcbc3913c9b3","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0145066075","58.39170637685","586.35","","","Borrow",""
"0x36364fd6c7d0823442dd365c046387aa2ca20849aee3d8cddbf610971cbf3690","11448038","1607908379","2020-12-14 01:12:59","0x3a3e2323d3eb1c9bc83b953959f5e0d05104a395","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0077091234","31.030609327212","586.35","","","Repay",""
"0xbb7e07346271b982c61fa65da420d2442d32cdb2af2635d9d2cabbceef9da8fe","11448075","1607908810","2020-12-14 01:20:10","0xece772fe6bb5e9869c12ecfa94f5a6b463ee6cd7","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0109646042","44.134505533756","586.35","","","Borrow",""
"0x731fcf9721df36e92fa46dc8d1b1d690afd7477fc339157a4018bc53403b4ce6","11448082","1607908875","2020-12-14 01:21:15","0xece772fe6bb5e9869c12ecfa94f5a6b463ee6cd7","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0060395104","24.310116471872","586.35","","","Repay",""
"0x26ec18c22b58935f5ecbdd9073c92f07ac7d1e5d664bb62d98bb1cfa326049b4","11448134","1607909756","2020-12-14 01:35:56","0xece772fe6bb5e9869c12ecfa94f5a6b463ee6cd7","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.00918234","36.9605713212","586.35","","","Repay",""
"0x32f671f170bb8761df5399c03cfa74bfaa2ca97a33ef94121b7815bc3450448f","11448142","1607909860","2020-12-14 01:37:40","0xe58b7265d56c4a1465ca44357d33c240d0cef6ca","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.015287328","61.53424691904","586.35","","","Withdraw",""
"0xf2891300e88e703b533975e16a0af85fba5d7dfa257c18e8965685455ccd5624","11448143","1607909865","2020-12-14 01:37:45","0xcdddcf576e2018ea8d22461137a8f1bf9ab4f8c1","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.012768663","51.39616693434","586.35","","","Borrow",""
"0x3f8c66552731ebb9bf8b5e54f8e881cbdcbaca356c878de85ede8a88d1678c0c","11448182","1607910326","2020-12-14 01:45:26","0x9752dad17648395aa719aee5979033a906cca596","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.012308314","49.54317934652","586.35","","","Borrow",""
"0x16c7c0502599b90789ab19a65b6ad52fe30e437d9a36645408f1d96dd7ca3715","11448186","1607910380","2020-12-14 01:46:20","0x62b3749ad35034e8641dfc1429afff1d5957ecf4","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.010069032","40.52966622576","586.35","","","Borrow",""
"0x937414233e902c27ae6852948a07fa5f5ed931f5fa7b1fc122505b6bc1e6877d","11448253","1607911288","2020-12-14 02:01:28","0x2602cda64237b42a8c90c33bd7074edd1f4c0707","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0080711176","32.487701141168","586.35","","","Repay",""
"0xed9a04ceca4238f01ebf102f295eb27ed6737670776915bf78fafdbf5e47a5f0","11448270","1607911489","2020-12-14 02:04:49","0x0e6c9bad29314e8676c18721f450cba2e0e9ffc3","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.010803741","43.48700219838","586.35","","","Borrow",""
"0xa52ad0ae4dbceda0d6231454e80ae420315d19f8ed2ac4d850b34d8827ea86e6","11448296","1607911845","2020-12-14 02:10:45","0x736dde3e0f5c588ddc53ad7f0f65667c0cca2801","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.011631668","46.81955740024","586.35","","","Deposit",""
"0x654d5d6f91352d2d062a976d11e6b2489063d1f4c493c64fd4d3f33a60ff5f1a","11448300","1607911917","2020-12-14 02:11:57","0xb782623abe9f9459e0f69b755f3b3384bf0cb5d5","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.009289396","37.39149099128","586.35","","","Deposit",""
"0x674b795e2d64dabb6f4f51cee3952e5c2dddedcc3970194b558938c69fd76694","11448313","1607912114","2020-12-14 02:15:14","0xeefcd01087281d035ece6a3bc369eb3afafc4cec","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.008723642451328502","35.1142311222385","586.35","","","Deposit",""
"0xd03e3659b7124ea3e994886a25bc5f4344433f97d4675c86d1a7b5c9788f9edd","11448323","1607912211","2020-12-14 02:16:51","0xd239febd25f7318ea099e1b4eb2c2ac9e1a0f787","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.008192661277978893","32.9769363228951","586.35","","","Withdraw",""
"0x37822e6d367ccb99e04b2464b6ac07d48758fd731a6a38b0ee25b75ec56afd98","11448369","1607912860","2020-12-14 02:27:40","0x1671ab84f936dba701ed5fa93f38860439a05a5b","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.01188215","47.827792537","586.35","","","Deposit",""
"0x066e98176e5beb22d2f1196f5e8953689a57e53ec8f877f7900572cea48d5059","11448381","1607913031","2020-12-14 02:30:31","0xc2ae3048247f13add546f645c0bb5177c35f815a","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0100869142","40.601645299556","586.35","","","Withdraw",""
"0x3c8d5e70a0cafe156551a53d451e133754760ccf5a5080021fc4c6da5cf1a180","11448388","1607913079","2020-12-14 02:31:19","0x1671ab84f936dba701ed5fa93f38860439a05a5b","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.00959162428203942","38.6080142275794","586.35","","","Withdraw",""
"0xc8285da5ab412a57ff9c3b40588222d9cd60132314ac7fdc59a5e07c01aa410f","11448399","1607913191","2020-12-14 02:33:11","0x572c4015806dee9d191c5ed6922562c9ff25171c","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.006775098299541454","27.2709901733483","586.35","","","Deposit",""
"0xcc7f11a22de1a1f2762de8b47af0f9a2dec260541c93715025d62f5681c1f39a","11448408","1607913287","2020-12-14 02:34:47","0x81016b5fa82b628e7653e63f43882009f90dc2b6","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0082245","33.10509291","586.35","","","Borrow",""
"0xc4df99dd14333dff1c0ffbd9d740657bf73ac74a438f29192e801906c7fd7363","11448449","1607913931","2020-12-14 02:45:31","0x896bc6246c4cdebdb9270a9aa9954fcaf8248715","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0082018406","33.013884746308","586.35","","","Deposit",""
"0x685ce510b2bfdfe79e94097c7701ee656c3555c8076d523ba68598e67776b179","11448457","1607914051","2020-12-14 02:47:31","0x117960b6168aed4b4c4f2243de5d5e90ff04bcb3","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.00961274336","38.6930223178048","586.35","","","Deposit",""
"0xb2d4d16b38c5e17b2a9ac53d6d524d21508158186f564316b79247f50f372145","11448461","1607914134","2020-12-14 02:48:54","0x896bc6246c4cdebdb9270a9aa9954fcaf8248715","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.01371641232","55.2110285422176","586.35","","","Borrow",""
"0xc6e495df8a29d62cc76fcb3e7df1f684cd199479f697c37e1baaddfe3b2396fe","11448483","1607914423","2020-12-14 02:53:43","0x97bb222fc501a01ffdbc52c8c1652981408a6a68","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.009631056","38.76673399008","586.35","","","Deposit",""
"0x9f2f13ecd22bbdf20fbb2e2ec1b53a26df87628fb1d54614dac6c75c4c7701b1","11448561","1607915430","2020-12-14 03:10:30","0x572c4015806dee9d191c5ed6922562c9ff25171c","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.006805216201","27.3922201479412","586.35","","","Deposit",""
"0x7e53bfc4fa8744530af46a9a590fbafb08f779326d27c3885439ecaf196560f9","11448568","1607915547","2020-12-14 03:12:27","0x6e867b9ceda09ccb743f823d05c84cf806afeb8e","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.015696856467381896","63.1826727153763","586.35","","","Borrow",""
"0x527fbadf7691754a0ecda725747c54f9fa475ddcde832c706ed3b116f82d2944","11448568","1607915547","2020-12-14 03:12:27","0xfd90ad81ad93d9af1008a513d964f6fbc589034d","0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9","","0","0","0","0.0152197562","61.262258261116","586.35","","","Borrow",""
