Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4023.77/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x50caa4df51942d82d22c57b14ab99d7f4fa4b8029710cd3ef99cb47d479b921d,11373392,1606916105,12/2/20 13:35,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.004545432,18.28977403,598.26,,,Repay
0xb287043d2ef102bb10acd5bb8e8a8e4facac3df6c53466be3822d3f8b645c615,11373425,1606916593,12/2/20 13:43,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.009847682,39.6248074,598.26,,,Borrow
0x39e74862da2611ce427daad624020f59cf6b274e269bfc9eaa14ea96521393da,11373530,1606918236,12/2/20 14:10,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.01408004,56.65484255,598.26,,,Deposit
0x53bd91c414982c61cd03d60f117e4b7de863d436737a3508b72f89abf7a5940a,11373547,1606918466,12/2/20 14:14,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.014001528,56.33892687,598.26,,,Borrow
0x4e9f1a81a9f28d9e3766bc0c8179e293e5c952273ed8872f2e5063acfc69d5d1,11373600,1606919130,12/2/20 14:25,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00866764,34.8765898,598.26,,,Deposit
0xe4300e142c86a9265197150a32fe0475c9692cf6fb5915275551f38c655f3833,11373603,1606919158,12/2/20 14:25,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00653096,26.27908092,598.26,,,Deposit
0x23238a38758d76d6e8d296dfd68ec0f25ac6770f6211590a2bbf8104a22b579c,11373612,1606919287,12/2/20 14:28,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.010032009,40.36649685,598.26,,,Deposit
0xc4318c21118f21bcf19dc8ad8295df8434dfbeba68c8d0070863ae1838ee8a15,11373623,1606919438,12/2/20 14:30,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.008516469,34.26831247,598.26,,,Deposit
0x162daed72926a7f9166d79779985778c3511203af85d86fa1d6e4920296098f2,11373640,1606919604,12/2/20 14:33,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00367672,14.79427563,598.26,Error(0),Reverted,Deposit
0x725ba3f918e94da18a85d285289f61dc8e4e7749f75d6d668447e5503e996749,11373644,1606919668,12/2/20 14:34,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.003492884,14.05456185,598.26,Error(0),Reverted,Deposit
0x87bfd941945459448c1555ea4b24c59d4211bbe69daab53b54f7660246c00607,11373651,1606919783,12/2/20 14:36,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.007948137,31.98147522,598.26,,,Deposit
0x5936e37b2097bf1b48901ee0b7b104f8d762a064725b19571958cb4fe987cb87,11373654,1606919840,12/2/20 14:37,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.01207966,48.60577352,598.26,,,Deposit
0x3639dce37edd1f4a95b563a2e2abdfa6a5e42753d1a41442d58ed23475922247,11373655,1606919860,12/2/20 14:37,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.011812628,47.53129817,598.26,,,Deposit
0x92527f24f16e80e160669cedc49d7ef88728887e6f73e63afe190110efd285df,11373663,1606919960,12/2/20 14:39,0x4846aee6d7c9f176f3f329e01a014c2794e21b92,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.007369302,29.65237631,598.26,,,Deposit
